Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot_id,has_pivots,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,portal_steps,has_code_blocks,code_block_count,code_languages,has_code_refs,code_ref_count
,What is Azure AI Foundry?,what-is-azure-ai-foundry.md,https://learn.microsoft.com/azure/ai-foundry/what-is-azure-ai-foundry.md,False,sgilley,overview,"Azure AI Foundry is a trusted platform that empowers developers to drive innovation and shape the future with AI in a safe, secure, and responsible way.",,False,,False,True,False,0,,True,4,False,False,0,,False,0
Get started,Quickstart,quickstarts/get-started-code.md,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-code.md,False,sgilley,how-to,This article provides instructions on how to start using the Azure AI Foundry portal and the Azure AI Foundry SDK.,project-type,True,"fdp-project, hub-project",False,True,False,0,,True,2,True,True,4,"bash, none",True,3
Get started,Azure AI Foundry client libraries,how-to/develop/sdk-overview.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/sdk-overview.md,False,sgilley,how-to,This article provides an overview of the Azure AI Foundry SDK and how to get started using it.,foundry-sdk-overview-languages,True,"programming-language-csharp, programming-language-java, programming-language-javascript, programming-language-python",False,True,False,0,,False,0,False,False,0,,False,0
Get started,Ask the Foundry agent,foundry-agent/ask-foundry-agent.md,https://learn.microsoft.com/azure/ai-foundry/foundry-agent/ask-foundry-agent.md,False,jeomhove,concept-article,"Learn how to ask the Foundry agent for help, getting your questions answered based on Azure AI Foundry documentation and model catalog.",,False,,False,True,False,0,,True,1,False,False,0,,False,0
Models,Explore Foundry Models,concepts/foundry-models-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/foundry-models-overview.md,False,ssalgado,how-to,This article introduces Azure AI Foundry Models and the model catalog in Azure AI Foundry portal.,,False,,False,True,False,0,,True,5,False,False,0,,False,0
Models,Models and capabilities,foundry-models/concepts/models.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/models.md,False,mopeakande,how-to,Explore the available Azure AI Foundry Models and their capabilities.,,False,,False,True,False,0,,False,0,False,False,0,,False,0
Models,Model versions,foundry-models/concepts/model-versions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/model-versions.md,False,mopeakande,concept-article,Learn about model versions in Foundry Models.,,False,,False,True,False,0,,False,0,False,False,0,,False,0
Models,Model lifecycle and retirement,concepts/model-lifecycle-retirement.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-lifecycle-retirement.md,False,mopeakande,concept-article,"Learn about the lifecycle stages, deprecation, and retirement for Azure AI Foundry Models.",,False,,False,True,False,0,,False,0,False,False,0,,False,0
Models,"Data, privacy, and security for Model Catalog",how-to/concept-data-privacy.md,https://learn.microsoft.com/azure/ai-foundry/how-to/concept-data-privacy.md,False,ssalgado,concept-article,"Get details about how data that customers provide is processed, used, and stored when a user deploys a model from the model catalog.",,False,,False,True,False,0,,True,2,False,False,0,,False,0
Models,Foundry Models quotas and limits,foundry-models/quotas-limits.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/quotas-limits.md,False,mopeakande,concept-article,"Quick reference, detailed description, and best practices on the quotas and limits for the Azure AI Foundry service.",,False,,False,True,False,0,,False,0,True,False,0,,False,0
Models > Choose a model for your use case,Model leaderboards,concepts/model-benchmarks.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-benchmarks.md,False,lagayhar,concept-article,This article introduces benchmarking capabilities and model leaderboards (preview) in Azure AI Foundry portal.,,False,,False,True,False,0,,False,0,False,False,0,,False,0
Models > Choose a model for your use case,Compare models in leaderboards,how-to/benchmark-model-in-catalog.md,https://learn.microsoft.com/azure/ai-foundry/how-to/benchmark-model-in-catalog.md,False,lagayhar,how-to,"In this article, you learn to compare benchmarks across models and datasets, using the model leaderboards (preview) and the benchmarks feature in Azure AI Foundry portal.",,False,,False,True,False,0,,True,11,False,False,0,,False,0
Models > Choose a model for your use case,Explore the model playgrounds,concepts/concept-playgrounds.md,https://learn.microsoft.com/azure/ai-foundry/concepts/concept-playgrounds.md,False,tgokal,concept-article,"Learn to use Azure AI Foundry playgrounds for exploration, experimentation, and iteration with different models.",,False,,False,True,False,0,,True,10,True,False,0,,False,0
Models > Deploy Foundry Models,Deployment options in Azure AI Foundry portal,concepts/deployments-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/deployments-overview.md,False,mopeakande,concept-article,Learn about deployment options for Azure AI Foundry Models.,,False,,False,True,False,0,,True,1,False,False,0,,False,0
Models > Deploy Foundry Models,Deployment types,foundry-models/concepts/deployment-types.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/deployment-types.md,False,mopeakande,how-to,Learn how to use deployment types in Azure AI model deployments,,False,,False,True,False,0,,True,1,False,False,0,,False,0
Models > Deploy Foundry Models,Configure Models from Partners and Community,foundry-models/how-to/configure-marketplace.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/configure-marketplace.md,False,ssalgado,how-to,Learn how to configure access to Models from Partners and Community.,,False,,False,True,False,0,,True,1,False,False,0,,False,0
Models > Deploy Foundry Models,Deploy Foundry Models,foundry-models/how-to/create-model-deployments.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/create-model-deployments.md,False,ssalgado,how-to,Learn how to add and configure new models to the Azure AI Foundry's inference endpoint.,azure-ai-models-deployment,True,"ai-foundry-portal, programming-language-cli, programming-language-bicep",False,True,False,0,,False,0,False,False,0,,False,0
Models > Deploy Foundry Models,Upgrade from GitHub Models to Azure AI Foundry Models,foundry-models/how-to/quickstart-github-models.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/quickstart-github-models.md,False,ssalgado,how-to,Learn how to upgrade your endpoint from GitHub Models to Azure AI Foundry Models,,False,,False,True,False,0,,True,2,True,False,0,,False,0
Models > Deploy Foundry Models,Troubleshoot deployments and monitoring,how-to/troubleshoot-deploy-and-monitor.md,https://learn.microsoft.com/azure/ai-foundry/how-to/troubleshoot-deploy-and-monitor.md,False,mopeakande,how-to,This article provides instructions on how to troubleshoot your deployments and monitors in Azure AI Foundry portal.,,False,,True,True,False,0,,False,0,True,False,0,,False,0
Models > Develop with AI models,Endpoints for Foundry Models,foundry-models/concepts/endpoints.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/endpoints.md,False,mopeakande,how-to,Learn about the Azure AI Foundry Models endpoint,,False,,False,True,False,0,,True,1,False,False,0,,False,0
Models > Develop with AI models,Use Foundry Models in code,foundry-models/how-to/inference.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/inference.md,False,mopeakande,how-to,Learn how to use the Azure AI Foundry Models inference endpoint to consume models,,False,,False,True,False,0,,True,2,False,False,0,,False,0
Models > Develop with AI models,Supported programming languages and SDKs,ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,https://learn.microsoft.com/azure/ai-foundry/ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,False,,,,,False,,False,False,False,0,,False,0,False,False,0,,False,0
Models > Develop with AI models,Azure AI Inference SDK,foundry-models/supported-languages.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/supported-languages.md,False,mopeakande,concept-article,Learn about supported programming languages for models in Azure AI Foundry Models,,False,,False,True,False,0,,False,0,False,False,0,,False,0
Models > Develop with AI models > Work with chat models,Work with chat completion models,foundry-models/how-to/use-chat-completions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-completions.md,False,mopeakande,how-to,Learn how to generate chat completions with Azure AI Foundry Models,azure-ai-inference-samples,True,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,False,False,0,,False,0
Models > Develop with AI models > Work with chat models,Work with reasoning models,foundry-models/how-to/use-chat-reasoning.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-reasoning.md,False,mopeakande,how-to,Learn how to use reasoning capabilities from models with Azure AI Foundry Models,azure-ai-inference-samples,True,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,False,False,0,,False,0
Models > Develop with AI models > Work with chat models,Work with multimodal models,foundry-models/how-to/use-chat-multi-modal.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-multi-modal.md,False,mopeakande,how-to,Learn how to process audio and images with chat completions models with Azure AI Foundry Models,azure-ai-inference-samples,True,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,False,False,0,,False,0
